secteur;raison_sociale;siren;localisation;effectif;ca_eur;procedure;date_jugement;statut;actifs_industriels;source_url;fiabilite;commentaire_mali
Transport & logistique;Ziegler France (et sa filiale Satra);n.d.;Lille (59) — tribunal de commerce de Lille;1500;n.d.;Liquidation judiciaire;n.d. (2026);Liquidation prononcée — environ 1 500 emplois concernés;Flotte poids lourds, agences, plateformes d'entreposage;https://trans.info/fr/faillites-transport-france-2026-ziegler-pedretti-crise-468940;Presse spécialisée;Le plus gros gisement d'actifs roulants de l'échantillon. Des tracteurs et remorques devenus non conformes ZFE en France restent pleinement exploitables sur les corridors Dakar-Bamako et Abidjan-Bamako.
Transport & logistique;Pedretti Distribution;n.d.;n.d. — 12 agences;390;45000000;Redressement judiciaire;n.d. (décembre 2025);Aucun repreneur trouvé à l'issue de la période d'observation;Flotte de distribution, 12 agences;https://trans.info/fr/faillites-transport-france-2026-ziegler-pedretti-crise-468940;Presse spécialisée;Le réseau d'agences n'est pas transférable, la flotte et l'outillage d'atelier le sont. Vérifier l'âge moyen du parc avant toute offre.
Transport & logistique;Sogran;n.d.;Région de Saint-Étienne (42);110;n.d.;Liquidation judiciaire;n.d. (2026);Liquidation — transporteur fondé en 1984;Flotte régionale, atelier de maintenance;https://sgtcf.fr/faillites-de-transporteurs-routiers-en-france-une-annee-2026-qui-demarre-sous-tension/;Presse syndicale;Taille adaptée à une première opération pilote : lot de véhicules homogène, atelier de maintenance reprenable en bloc.
Fabrication de machines-outils;Mécanuméric;n.d.;Tarn (81);n.d.;n.d.;Redressement judiciaire;n.d. (décembre 2024);Procédure ouverte — impact du recul de l'investissement industriel européen;Équipements de découpe et d'usinage (constructeur);https://www.machinesproduction.fr/article/mecanumeric-en-redressement-un-passage-oblige-pour-rebondir;Presse spécialisée;Transférer une activité de construction de machines-outils au Mali n'est pas réaliste : l'écosystème de sous-traitance nécessaire est absent. En revanche le parc machines interne est reconvertible en atelier de mécanique générale pour la maintenance minière.
Fabrication de machines-outils;Mécanique Gaillonnaise de Précision;352461883;Le Val d'Hazey (27940) — Eure;n.d.;n.d.;Redressement judiciaire;2026-04-12;Cessation des paiements fixée au 20/03/2026;Parc machines de mécanique de précision;https://www.procedures-collectives.com/entreprise/352461883-mecanique-gaillonnaise-de-precision/;Base procédures collectives;Seul dossier de l'échantillon avec SIREN confirmé et date de jugement précise. L'intérêt porte sur le parc machines, pas sur l'activité de précision elle-même.
Fabrication de machines-outils;Gallez Industrie;n.d.;Pas-de-Calais (62);n.d.;n.d.;Cession en procédure collective;n.d.;À confirmer — annonce de cession par mandataire;Sous-traitance mécanique automobile;https://ajilink.fr/secteur-automobile-gallez-industrie-pas-de-calais/;Faible — à confirmer;Rattachement sectoriel à confirmer (mécanique ou plasturgie automobile). Ne pas instruire avant vérification du code APE au registre.
Transformation plastique;Tahe Outdoors France (ex-Bic Sport);n.d.;Vannes (56) — tribunal de commerce de Vannes;n.d.;n.d.;Redressement judiciaire (demande);2026-02-27;Recherche active d'un repreneur;Site de production de Vannes, technologies de transformation composites et plastiques;https://www.usinenouvelle.com/polymeres-materiaux/materiaux/plastiques-et-composites/ex-bic-sport-le-groupe-tahe-outdoors-france-engage-une-procedure-de-redressement-judiciaire-et-cherche-un-repreneur.GD32GWOJWRCG3GRY622C3CEEWY.html;Presse spécialisée;Outillage de transformation polyvalent. Le produit fini (planches de sport nautique) n'a aucun marché malien : l'intérêt porte sur les moules, les presses et le savoir-faire composite, réaffectés à l'emballage ou au BTP.
Transformation plastique;RecyOuest;n.d.;Orne (61) — Normandie;n.d.;n.d.;Liquidation judiciaire;n.d.;6 M€ de dettes — la direction espère un repreneur;Ligne de régénération de matières plastiques;https://france3-regions.franceinfo.fr/normandie/orne/avec-6-millions-d-euros-de-dettes-l-entreprise-recyouest-placee-en-liquidation-judiciaire-la-directrice-espere-un-repreneur-3191679.html;Presse régionale;Cas le plus cohérent avec le contexte malien : une ligne de régénération alimentée par le gisement local de déchets plastiques répond à la fois au besoin en matière première et à un enjeu environnemental urbain à Bamako.
Fabrication de matériel électrique;Groupe Brandt;n.d.;Siège Nanterre (92) — sites Centre-Val de Loire;700;n.d.;Liquidation judiciaire;n.d. (2026);Redressement en octobre puis liquidation prononcée par le TC de Nanterre — 700 emplois supprimés;Lignes d'assemblage d'appareils électroménagers (NAF 27.51Z);https://www.francebleu.fr/infos/economie-social/groupe-brandt-le-tribunal-prononce-la-liquidation-judiciaire-700-emplois-supprimes-7701700;Presse nationale;Lignes d'assemblage à forte intensité de main-d'oeuvre, donc transférables sur le principe. Réserve majeure : la demande malienne en gros électroménager est étroite et très exposée au délestage.
Fabrication de matériel électrique;Groupe GCK;n.d.;Auvergne-Rhône-Alpes;n.d.;n.d.;Redressement judiciaire;n.d. (2026);Recherche de repreneur — date limite de dépôt des offres au 19/06/2026;Technologies de mobilité électrique;https://www.spark-avocats.com/groupe-gck-cherche-repreneur-dans-le-cadre-dun-redressement-judiciaire/;Cabinet d'avocats;Positionnement retrofit et mobilité électrique sans marché malien à court terme. À écarter, sauf intérêt ciblé sur un banc d'essai ou un atelier de bobinage.
